Date,ABT 05Y,ABBVINC 05Y,AGN 05Y
23-05-2016,0.0055288688,0.0078052497,0.0036105097
24-05-2016,0.0055454169,0.0075684623,0.0036094474
25-05-2016,0.0055445532,0.0074724612,0.0036089678
26-05-2016,0.0055328368,0.0070083992,0.0036084991
27-05-2016,0.0055589468,0.0070300096,0.0036076644
30-05-2016,0.0056059079,0.0070185795,0.0036108865
31-05-2016,0.005584048,0.0070308014,0.0036128686
01-06-2016,0.0055763604,0.0070941211,0.0036103639
02-06-2016,0.0055733338,0.0068047524,0.0036108048
03-06-2016,0.0055722316,0.0068169825,0.0036102411
06-06-2016,0.0055722951,0.0067171828,0.0036099261
07-06-2016,0.0055726845,0.0068741044,0.0036101617
08-06-2016,0.0055726751,0.0069651349,0.0036108373
09-06-2016,,0.0069901427,0.0036105517
10-06-2016,0.005572461,0.0069049078,0.0036110507
13-06-2016,0.0055808761,0.0075304576,0.0036106732
14-06-2016,0.0055355002,0.0077246052,0.003609945
15-06-2016,0.0055275725,0.0077122472,0.0036118727
16-06-2016,0.0055242034,0.0076231011,0.0036089619
17-06-2016,0.0055240596,0.0076827098,0.0036127169
20-06-2016,0.0054754562,0.0075603384,0.0036016425
21-06-2016,0.0054760619,0.0072286001,0.0035948286
22-06-2016,0.0054766092,0.0070857044,0.0035909395
23-06-2016,0.0054436182,0.0070142262,0.0035862588
24-06-2016,0.0058092736,,0.0035853687
27-06-2016,0.0059070093,0.0080094611,0.0036690883
28-06-2016,0.0058942952,0.0075119909,0.0036914563
29-06-2016,0.0058610899,0.007627653,0.0036799106
30-06-2016,0.0058576231,0.0072484588,0.0036811085
01-07-2016,0.0058418095,0.0072485232,0.0036791465
04-07-2016,0.0058364157,0.0069776124,0.0036777541
05-07-2016,0.0058346205,0.0070754244,0.003676958
06-07-2016,0.0058340206,0.0069204374,0.0036769858
07-07-2016,0.0058337606,0.0069133824,0.003677079
08-07-2016,0.0056950182,0.0067859979,0.0036761683
11-07-2016,0.00560689,0.0067452,0.00357733
12-07-2016,0.00556593,0.00619498,0.00351254
13-07-2016,0.0054848,0.00593198,0.0034409
14-07-2016,0.00548479,0.00609425,0.00337201
15-07-2016,0.00559799,0.00600789,0.00335827
18-07-2016,0.0054846,0.00575532,0.00329869
19-07-2016,,0.00576497,0.00327607
20-07-2016,0.00526524,0.00571675,0.00326677
21-07-2016,0.00516517,0.00579024,0.00324418
22-07-2016,0.00516514,0.00574209,0.00321509
25-07-2016,0.00513169,0.00612742,0.003204
26-07-2016,0.00518616,0.00617559,0.0032008
27-07-2016,0.00519817,0.00612742,0.00319849
28-07-2016,0.00521227,0.00617561,0.00330214
29-07-2016,0.00518282,0.0060551,0.00327993
01-08-2016,0.00506475,0.00620875,0.00337277
02-08-2016,0.00506303,0.00629299,0.00343117
03-08-2016,0.00506467,0.00619673,0.00348315
04-08-2016,0.00498264,0.00611847,0.00353344
05-08-2016,0.00502953,0.005998,0.0035488
08-08-2016,0.00498757,0.00602213,0.00357225
09-08-2016,0.0049976,0.00602213,0.00358229
10-08-2016,0.00499757,0.00602213,0.00360154
